book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Kedushat Levi,Vayechi,155,1087,"בפסוק ויברכם ביום ההוא לאמור ישימך אלהים כאפרים וכמנשה וישם את אפרים לפני מנשה (בראשית מח, כ). קודם נבוא לבאר מאמר חכמינו ז""ל במסכת מגילה <small>(טו.)</small> בוא וראה שלא כמדת הקדוש ברוך הוא מדת בשר ודם, בשר ודם שופת את הקדירה ואחר כך נותן לתוכה מים ומדת הקדוש ברוך הוא נותן מים ואחר כך שופת את הקדירה. דכבר פרשנו בפסוק <small>(שמות טו, כו)</small> כל המחלה אשר שמתי במצרים לא אשים עליך כי אני ה' רופאך, דידוע מאמר חכמינו ז""ל <small>(מגילה יג:)</small> השם יתברך מקדים רפואה למכה, וכונתו בהצרה רק בשביל הישועה שישלח אחר כך. וזהו כל המחלה, לשון פעולה, כלומר הפעולה והכוונת החולי אשר שמתי במצרים לא אשים עליך, כי אצלך כוונת כי אני ה' רופאך, רק בשביל הרפואה והישועה שאחר כך. וזהו בצרת איש ישראל חס ושלום החסדים קודם, כי כוונתו בהצרה על החסדים שמקודם רק על ידי החולי האדם נעשה כלי לקבל השפע כדרך בני אדם כשרוצין לעשות מכלי קטן כלי גדול צריכה שבירה כן השם יתברך ברוך הוא רוצה להשפיע להאדם וצריך שיהא ביכולתו שיהיה יותר גדול גלל כן שלח לו צרה או חולי חס ושלום שזהו שבירת הכלי קטן שאחר כך יהיה יותר גדול וזה החולי נקרא קדירה. וזה מאמר חכמינו ז""ל אדם שופת את הקדירה ואחר כך נותן מים לתוכה והקדוש ברוך הוא בתחלה נותן מים, פירוש החסדים דמים מרומז על חסד שכוונתו על חסדים. ואחר כך שופת את הקדירה, פירוש על ידי כוונתו לחסדים מתקן הקדירה, היינו האדם שבא לו הצרה שעל ידי זה יהיה כלי גדול שיהיה ביכולתו לקבל השפע וכוונתו הכל לטובה וקל להבין:","In the verse ""And He blessed them on that day, saying, 'God make you like Ephraim and like Manasseh,' and He put Ephraim before Manasseh"" (Genesis 48:20). Before we come to explain the words of our Sages, may their memory be blessed, in the tractate Megillah (15), ""Come and see that the measure of the Holy One, blessed be He, is not like the measure of flesh and blood. Flesh and blood puts the pot on the fire and then puts water into it, but the measure of the Holy One, blessed be He, puts in the water and then puts the pot on the fire."" For we have already explained in the verse (Exodus 15:26), ""All the sickness that I placed in Egypt I will not place upon you, for I am the Lord your Healer,"" that it is known from the words of our Sages (Megillah 13) that the Holy One, blessed be He, precedes healing to the affliction, and His intention in the affliction is only for the salvation that He will send afterward. And this is ""all the sickness,"" a term of action, meaning the action and intention of the sickness that I placed in Egypt I will not place upon you, for with you the intention is ""for I am the Lord your Healer,"" only for the healing and salvation that will come afterward. And this is in the distress of a Jewish person, God forbid, the kindnesses come first, for His intention in the distress is for the kindnesses that come beforehand, only through the sickness does a person become a vessel to receive the flow, as is the way of people who want to make a small vessel into a large one, it requires breaking. So too, the Holy One, blessed be He, wants to bestow upon the person and it is necessary that he be capable of becoming greater; therefore, He sends him distress or sickness, God forbid, which is the breaking of the small vessel so that afterward it will be greater, and this sickness is called a pot. And this is the saying of our Sages, may their memory be blessed, ""A person puts the pot on the fire and then puts water into it,"" and the Holy One, blessed be He, first puts in the water, meaning the kindnesses, which are alluded to as kindness. And afterward, He puts the pot on the fire, meaning that through His intention for kindness, He repairs the pot, that is, the person who experiences the distress, and through this, he will become a great vessel capable of receiving the flow, and His intention is all for good, and it is easy to understand.","The passage discusses the divine approach to suffering and healing, contrasting it with human behavior. It emphasizes that God precedes affliction with healing, suggesting that hardships serve to prepare individuals to receive greater blessings. The metaphor of cooking illustrates that just as a pot must be broken to become larger, so too must a person undergo trials to expand their capacity for divine abundance. Ultimately, the text conveys that all suffering is purposeful, aimed at facilitating greater spiritual growth and receiving God's kindness.","קדוש ברוך הוא  
חסדים  
רפואה  
מכה  
ישועה  
חולי  
שבירה  
שפע  
כלי  
כוונה"
Kedushat Levi,Vayechi,156,1088,"לפי זה יבואר הפסוק הנ""ל, כי יש בכאן דקדוק למה כתב זאת בברכה וישם את אפרים לפני מנשה, הלא אנו רואין בברכה ששם אפרים לפני מנשה. ולפי חכמינו ז""ל יבואר, שגם זה היה מהברכה שבירך את ישראל. דהנה כתבנו בישראל הישועה והרפואה הוא מקודם והוא העיקר הכוונה בצרת ישראל על הרפואה ועל הישועה שבא אחר כך כדי שיהיה כלי יותר גדול כנ""ל. והנה השם של מנשה רומז על הצרה ככתוב <small>(בראשית מא, נא)</small> ויקרא שמו מנשה כי נשני אלהים. והשם של אפרים מרומז על הישועה כמו שכתוב <small>(שם נב)</small> כי הפרני אלהים וכו'. ובאמת בישראל עם קדוש הישועה הוא מקודם והוא העיקר כנ""ל. וזהו וישם את אפרים, הוא הישועה. לפני מנשה, שמרומז על הצרה. כלומר שבישראל עם קדוש הישועה והרפואה הוא קודם והוא העיקר כנ""ל:","According to this, the aforementioned verse will be explained, for there is a grammatical reason why it states this in the blessing and placed Ephraim before Manasseh. We see in the blessing that Ephraim is indeed placed before Manasseh. According to our sages, may their memory be blessed, it will be explained that this was also part of the blessing that he blessed Israel. Behold, we have written that in Israel, salvation and healing come first, and the main intention is regarding the distress of Israel concerning the healing and the salvation that follows, in order to be a greater vessel, as mentioned above. Now, the name of Manasseh hints at the distress, as it is written (Genesis 41:51) ""And he called his name Manasseh, for God has made me forget."" And the name of Ephraim hints at salvation, as it is written (there 41:52) ""For God has made me fruitful, etc."" And indeed, in Israel, the holy nation, salvation comes first and is the main thing, as mentioned above. And this is ""and he placed Ephraim,"" which is the salvation, ""before Manasseh,"" which hints at the distress. This means that in Israel, the holy nation, salvation and healing come first and are the main thing, as mentioned above.","The passage discusses the significance of the biblical blessing where Ephraim is placed before Manasseh, highlighting the Hasidic understanding that salvation and healing (represented by Ephraim) precede and are more essential than suffering (represented by Manasseh). It emphasizes that the names reflect the spiritual journey of the Jewish people, where the experience of distress ultimately leads to redemption. The text underscores the belief that in the sacred narrative of Israel, the focus is on the ultimate deliverance and healing that follows hardship. Thus, the arrangement of the names symbolizes the primacy of hope and salvation in the Jewish faith.","ברכה  
אפרים  
מנשה  
ישועה  
רפואה  
צרה  
קדוש  
דקדוק  
עיקר  
כוונה"
Kedushat Levi,Vayechi,157,1089,"הקבצו ושמעו בני יעקב ושמעו אל ישראל אביכם (בראשית מט, ב). להבין כפל הלשון, על פי דמבואר בזוהר הקדוש בפסוק מי בכם ירא ה' שומע בקול עבדו, דצדיק שומע תמיד הכרוז שמכריזין עליו למעלה דהוא עבדא דמלכא עיין שם. לכן כשישראל זכאין כשמתקבצין יחד שומעין קול דלעילא שמכריזין הבו יקר לבני יעקב. וזהו שאמר להם יעקב הקבצו ושמעו בני ישראל, פירוש תשמעו קול דלעילא שאומרים עליכם בני יעקב עבדי. והנה קיבוץ ישראל מקרב לב ישראל לעשות תשובה לטהר לב ישראל. וזהו ושמעו אל ישראל אביכם, שתשמעו ותבינו דבר אשר אני מרמז לכם עתה סוד קץ הגאולה:","Gather and listen, sons of Jacob, and listen to Israel your father (Genesis 49:2). To understand the repetition of the phrase, according to what is explained in the Holy Zohar on the verse ""Who among you fears the Lord, hears the voice of His servant,"" that a righteous person always hears the proclamation that is announced above that he is the servant of the King, see there. Therefore, when Israel is worthy, when they gather together, they hear the voice from above that proclaims, ""Bring honor to the sons of Jacob."" This is what Jacob said to them: Gather and listen, sons of Israel, meaning you should hear the voice from above that is saying about you, ""Sons of Jacob, My servants."" And behold, the gathering of Israel is from the depths of the heart of Israel to repent and purify the heart of Israel. This is what is meant by ""and listen to Israel your father,"" that you should hear and understand the matter that I am hinting to you now, the secret of the end of redemption.","The passage emphasizes the importance of unity among the children of Israel, as expressed in Jacob's call to gather and listen. It highlights the concept that when the Jewish people come together in righteousness, they can hear the divine proclamation affirming their identity as servants of God. This gathering is seen as a means to inspire repentance and purify their hearts, ultimately leading to an understanding of the secrets of redemption. Jacob's message serves as a reminder of the spiritual connection and responsibilities that bind the community of Israel.","הקבצו  
שמעו  
בני יעקב  
ישראל  
צדיק  
קול דלעילא  
עבדא דמלכא  
קיבוץ ישראל  
תשובה  
סוד קץ הגאולה"
Kedushat Levi,Vayechi,158,1090,"פחז כמים אל תותר (בראשית מט, ד). הא שעבר יעקב על לא יוכל לבכר, עיין ברמב""ן שכתב שהוא מדה במדה. ולי נראה, שראה גוי וקהל גוים עוד שני שבטים לכן ראה ברוח הקודש שקאי על כרחך על מנשה ואפרים שלא הוליד יעקב אחר כך כמו שכתב רש""י, אבל אם לא היה חלל יצועי אז היה מוליד אחר כך היה קאי על יעקב בעצמו:","""Unstable as water, you shall not excel"" (Genesis 49:4). This refers to the fact that Jacob passed over the inability to bless, as noted by the Ramban, who wrote that it is measure for measure. It seems to me that he saw a nation and a congregation of nations, thus he perceived through the Holy Spirit that it necessarily referred to Manasseh and Ephraim, whom Jacob did not father afterwards, as Rashi wrote. However, if he had not desecrated his bed, he would have fathered afterwards, and it would have referred to Jacob himself.","הפסוק ""פחז כמים אל תותר"" מתייחס למידת הדין והצורך במידת הרחמים, כפי שמבאר הרמב""ן. יעקב ראה ברוח הקודש את עתיד השבטים מנשה ואפרים, והבין כי לא יוכל להוליד שבטים נוספים לאחריהם. המילים מצביעות על כך שהמציאות הרוחנית והגשמית של יעקב הייתה תלויה במעשיו ובבחירותיו, וההבנה הזו מדגישה את הקשר בין האדם לרוחניות ולגזירת ה' על חייו.","פחז  
מים  
לא יוכל  
מדה  
רוח הקודש  
שבטים  
גוי  
קהל  
חלל  
יצועי"
Kedushat Levi,Vayechi,159,1091,"יהודה אתה יודוך אחיך (בראשית מט, ח). עיין תפלת אליהו לית מחשבה תפיסה בך כלל. ולכאורה איך אנו אומרים בכל הברכות ברוך אתה בלשון נוכח הנה מבואר במשנת חסידים, כי מדת מלכות הוא המושג לנשמת ישראל בכח מצות ומעשים טובים שעושים ישראל ונמצא מוטל עלינו לעבדו ביראה ופחד כדי שיתגלה עלינו מלכותו יתברך וזהו יהודה, הוא מדת מלכות המושג לנשמת ישראל. וזה אתה, בלשון נוכח יודוך אחיך:","Judah, you shall be praised by your brothers (Genesis 49:8). Refer to the Prayer of Elijah; there is no thought that can grasp You at all. And seemingly, how do we say in all the blessings ""Blessed are You"" in the second person? It is explained in the teachings of the Pious that the attribute of Kingship is the concept for the soul of Israel through the power of the commandments and good deeds that the Jewish people perform. Therefore, it is incumbent upon us to serve Him with awe and fear so that His Kingship may be revealed upon us. And this is Judah, the attribute of Kingship that is the concept for the soul of Israel. And this ""You,"" in the second person, shall be praised by your brothers.","The passage discusses the concept of divine kingship as embodied in the figure of Judah, representing the soul of Israel through the performance of commandments and good deeds. It emphasizes the necessity of serving God with reverence and awe to reveal His sovereignty. The phrase ""ברוך אתה"" (Blessed are You) is understood as a direct address to God, highlighting the intimate relationship between the Divine and the Jewish people. Ultimately, it reflects the Hasidic belief in the transformative power of faith and action in achieving a connection with the Divine.","מלכות  
נשמת ישראל  
מצות  
מעשים טובים  
יראה  
פחד  
תפלה  
ברכות  
חסידים  
יהודה"
Kedushat Levi,Vayechi,160,1092,"או יבואר מלת אתה, כי ידוע שכל אדם צריך להתחזק בלבו אמונה זאת שבוודאי אין הקדוש ברוך הוא מואס חס ושלום בשום תפילת עמו ישראל אף שהקדוש ברוך הוא נקרא הגדול הגבור והנורא לו דומיה תהלה אף על פי כן יקר בעיניו דיבורים של עמו ישראל אפילו ממי שהוא חס ושלום בדיוטא תחתונה אף על פי כן מגיע מזה תענוג להבורא יתברך. ואל יחשוב אדם אם כן גדול כל כך מדת טובו של הקדוש ברוך הוא מה לי להתפלל בלב נשבר ונדכה בלא זה גם כן הקדוש ברוך הוא מקבל התפלה, אסור לאדם לחשוב כך, כי ראוי לכל אדם שיחשוב הדברים ההם קודם כל תפלה, דהיינו כמה מלאכים יש לו אשר כל מלאך הוא שליש עולם והם כגרגיר החרדל בפני אופן אחד והאופנים כנ""ל לפני חיה אחת והחיות כנ""ל לפני כסא הכבוד וכולם שואלים איה מקום כבודו, ואתה בן אדם ישמעו אזניך מה שאתה מוציא מפיך כולם אהובים כו' וכולם עושים באימה וביראה רצון קוניהם. מעתה יחרד האיש וילפת בעמדו להתפלל לפני מלך גדול כזה ומהראוי להזדעזע בכל אבריו וכן לאחר התפילה יחשוב בדעתו איך ימלא את לבבי לדבר בפי דברים בטלים ונהנה מהם הלא רגע אחד שדברתי מקודם לפני מלך גדול ונורא ובפרט שעתיד עוד לדבר לפניו והקדוש ברוך הוא מלא כל העולם כולו ואז יכול להיות שתהא תפלתו רצוי לפניו יתברך למלאות משאלותיו לטובה ומזאת התפילה מגיע להבורא ברוך הוא תענוג הוא הגורם שפע בכל העולמות, כי הכל תלוי במעשה תחתונים על ידי תפילתינו ושירות ותשבחות שלנו. ונמצא מזה ניכר גודל טובתו יתברך שאף על פי שהוא מלך גדול כמו שאמרנו למעלה, אף על פי כן יקר בעיניו מאוד דיבורנו הן בעסק התורה הן בעסק התפילה וכמו שיסד הפייט אשר אומץ תהילתך ואבית תהילה וכו' והיא תהלתך. ומזה ניכר גודל אהבתו בנו יתברך. וגם ראה עוד אהבתו שקראנו אחים כנאמר <small>(תהלים קכב, ח)</small> למען אחי ורעי, ונמצא בזה המדה הוא מושג אצלינו ועל זה שייך מלת אתה ובמה יודוך אחיך, כמו שפרשנו:","Or it can be explained the word ""you,"" for it is known that every person needs to strengthen in their heart this faith, that certainly the Holy One, Blessed be He, does not reject, God forbid, any prayer of His people Israel. Even though the Holy One, Blessed be He, is called the great, the mighty, and the awesome, to Him silence is praise, nevertheless, the words of His people Israel are precious in His eyes, even from one who is, God forbid, in the lowest of places. Even so, from this, there is pleasure for the Creator, Blessed be He. And a person should not think, since the measure of His goodness is so great, what does it matter to me to pray with a broken and crushed heart? Without this, too, the Holy One, Blessed be He accepts the prayer; it is forbidden for a person to think this way, for it is fitting for every person to contemplate these matters before every prayer, namely how many angels he has, each angel being a third of a world, and they are like a mustard seed before one of the wheels, and the wheels, as mentioned, before one living creature, and the living creatures before the Throne of Glory, and all of them ask, ""Where is the place of His glory?"" And you, human being, let your ears hear what you are bringing forth from your mouth; all are beloved, etc., and all act with awe and fear, fulfilling the will of their Creator. From now on, the person should tremble and wrap himself in awe when standing to pray before such a great King, and it is fitting to shudder in all his limbs. And also after the prayer, he should think in his mind how he will fill his heart to speak with his mouth words of vanity and take pleasure in them. After all, for one moment I spoke previously before a great and awesome King, especially since I am destined to speak before Him again, and the Holy One, Blessed be He, fills the entire world. And thus, it could be that his prayer will be accepted before Him, Blessed be He, to fulfill his wishes for good. And from this prayer, there comes to the Creator, Blessed be He, pleasure, which causes abundance in all the worlds, for everything depends on the actions of the lower beings through our prayers and our songs and praises. And from this, the greatness of His goodness is evident, that even though He is a great King, as we said above, nevertheless, our speech is very precious in His eyes, whether in the study of Torah or in the service of prayer, as the poet established, ""The strength of Your praise, and I will be praised, etc., and it is Your praise."" And from this, the greatness of His love for us, Blessed be He, is evident. And also, see further His love, that He called us brothers, as it is said (Psalms 122:8), ""For the sake of my brothers and my friends,"" and thus this measure is understood by us, and to this applies the word ""you,"" and how will your brother praise You, as we have explained.","The passage emphasizes the importance of sincere prayer and the belief that God does not reject any prayer from the Jewish people, regardless of their spiritual state. It highlights the profound relationship between God and humanity, illustrating that even the simplest words of prayer are cherished by the Creator. The text encourages individuals to approach prayer with reverence, recognizing the greatness of God while also understanding His deep love and care for His people, as evidenced by their designation as His ""brothers."" Ultimately, it conveys that human prayer and praise have the power to bring divine pleasure and influence the flow of blessings in the world.","אמונה  
תפילה  
קדוש ברוך הוא  
מלך  
חיות  
כסא הכבוד  
אהבה  
דיבור  
שפע  
תענוג"
Kedushat Levi,Vayechi,161,1093,"ובזה נראה לבאר מאמר חכמינו זכרונם לברכה <small>(ברכות יב.)</small> כל הכורע כורע בברוך וכשהוא זוקף זוקף בשם, כי יש שני מיני עבדות. האחד, שיקח לעצמו רמיזא דחכמתא במה שראה בכל יום ויום גדולת הבורא ברוך הוא כאשר הארכנו לעיל עיין שם, ומחמת כן מחזיק עצמו לעבודתו ומחמת גודל התלהבות הגדול הבאה אליו בא יבא בשמחה גדולה כאשר ראינו מכמה בני אדם ומתענג מאוד מחמת השמחה ההוא וכשמרגיש התענוג ההוא אז רוצה תמיד להתלהב לעבודתו יתברך בכדי שיבא לו עוד התענוג ההוא ועיקר כוונתו מחמת התענוג ונמצא בעבודה כזו גורם שפע רב לכל העולמות ולכל נפשות קדושות ולכל רוחות קדושות ולעולם התחתון, ויש עוד סדר העבודה אשר למעלה מזו, דהיינו שעיקר כוונתו הוא רק בכדי שיגיע תענוג להבורא ברוך הוא כביכול לפי שגורם שיתגדל ויתקדש שמו הגדול לעלם ולעלמי עלמיא וזהו העבודה הגדולה וגורם גם כן שפע רב לכל העולמות. וההפרש שבין שני עבודות הנ""ל הוא, עבודה הא' היא מעילא לתתא שעובד את ה' מחמת שמקבל תענוג מן עבדות ה'. ועבודה הב', שהוא כדי שהבורא יתברך יקבל תענוג היא מתתא לעילא והורדת השפע בא מעצמה והוא עיקר כוונתו בכדי לגרום תענוג להבורא ברוך הוא. וזהו פירוש הגמרא כל הכורע וכו'. והנה ענין הכריעה הוא מעילא לתתא כחיזרא, וידוע לכל שצדיק נקרא כל, דהיינו שיש מדריגה תחתונה, דהיינו שעיקר כוונתו בשביל שפע עליונה להורידה לעולם התחתון וזה כורע בברוך, דהיינו שגורם ברכה לעולם וזהו נקרא גם כן עבודת הבורא. אבל גילו לנו חכמינו ז""ל שיש מדריגה למעלה ממנו כמו שאמרנו לעיל וזהו זוקף בשם, שגורם תענוג להבורא ברוך הוא. וזהו ידך בעורף כו' ישתחוו לך בני אביך, דהיינו שאין זה הכח בהכריעה וזקיפה כי אם לישראל לבד ולא באומות כי שם נאמר לפניך ה' אלהינו יכרעו ויפולו, וזהו ידך עורף כו' ישתחוו לך בני אביך:","In this, we can explain the saying of our sages, may their memory be blessed (Berakhot 12): ""Every one who bows, bows with a blessing, and when he straightens up, he straightens up in the name."" For there are two types of servitude. The first is that one takes for himself a hint of wisdom in what he sees every day, the greatness of the Creator, blessed be He, as we have elaborated above, refer there. Because of this, he holds himself to serve Him, and due to the great enthusiasm that comes to him, he comes with great joy, as we have seen from many people, and he delights greatly because of that joy. When he feels that delight, he always wants to be enthusiastic in his service to the Blessed One so that he may receive that delight again. His main intention is because of the delight, and thus, in such service, he causes great abundance for all the worlds, for all holy souls, for all holy spirits, and for the lower world. 

There is another order of service that is above this, namely that his main intention is only to bring delight to the Creator, blessed be He, as it were, for he causes His great name to be magnified and sanctified forever and ever. This is the great service and it also causes great abundance for all the worlds. The difference between the two types of service mentioned is that the first service is from above to below, where one serves the Lord because he receives delight from the service of the Lord. The second service, which is so that the Creator, blessed be He, receives delight, is from below to above, and the outpouring of abundance comes of itself, and this is his main intention to cause delight to the Blessed One. 

This is the explanation of the Gemara: ""Every one who bows, etc."" Now, the matter of bowing is from above to below, like a bow. It is known to all that a righteous person is called ""all,"" meaning that there is a lower level, namely that his main intention is for the upper abundance to be brought down to the lower world, and this bows with a blessing, meaning that he causes a blessing for the world, and this is also called the service of the Creator. But our sages, may their memory be blessed, have revealed to us that there is a level above him, as we said above, and this is ""straightens up in the name,"" which causes delight to the Creator, blessed be He. 

This is ""Your hand at the nape of the neck, etc., your father's sons will bow to you,"" meaning that this power of bowing and straightening is only for Israel and not for the nations, for there it is said, ""Before You, O Lord our God, they will bow and fall,"" and this is ""Your hand at the nape of the neck, etc., your father's sons will bow to you.""","The passage discusses two types of divine service: one motivated by the joy and pleasure derived from serving God, which brings blessings to the world, and a higher form of service aimed solely at bringing pleasure to God Himself, thereby elevating His name. The distinction between these two forms of worship is illustrated through the concepts of ""bending"" and ""standing,"" where the former represents a service that draws down divine blessings, while the latter signifies an intention to uplift and honor God. Ultimately, the text emphasizes that true spiritual elevation lies in serving God for His own sake, which generates profound spiritual abundance for all realms.","עבודת הבורא  
תענוג  
שפע  
ברוך  
הבורא  
כוח  
מדריגה  
זוקף  
כורע  
קדושה"
Kedushat Levi,Vayechi,162,1094,"גור אריה יהודה מטרף בני עלית (בראשית מט, ט). פירוש רש""י מתחלה גור ולבסוף אריה. הנה ידוע שעיקר הגלות הוא רק בכדי להעלות הנצוצות שנפלו בקליפה מחטא אדם הראשון וישראל סובלים יסורי הגלות עד בא העת שתכלה כל הרשעה וכשתהיה עלייה להנצוצות הנ""ל אזי בוודאי יהיה הגאולה תיכף ומיד ואז יכירו וידעו כל יושבי תבל כי לה' הארץ ומלואה ואז יתגדל שמו הגדול כמו שכתוב בישעיה. והנה גם בגלות המר הזה הקדוש ברוך הוא עושה עמנו תמיד ניסים ונפלאות כמאמר ועל נסיך וכו'. ומכל שכן בעת הגאולה אז יהיה ניכר גדולת הבורא ברוך הוא ומכל שכן כשנהיה בארצינו אז יהיה ניכר גדולת הבורא באלף אלפי אלפים רבבות אשר לא יוכל שום בריה לספר. אבל בעת הגלות הזאת יש כמה רשעים אשר נכנס רוח שטות בלבם לפי שרואים שאנו סובלים כמה יסורים אז יש להם מקום להטעות ונמצא בגלות הזה נקרא כביכול גור, וכשתהיה הגאולה אז יקרא אריה. וזה גור אריה יהודה, מתחלה גור ולבסוף אריה, ואימת יקרא אריה כשתהיה עלייה להנצוצות. וזהו מטרף בני עלית. כן יתן השם יתברך שיתעלו אלו הנצוצות במהרה ויבא משיח צדקנו אמן:","The lion cub of Judah is from the prey, my sons, you have ascended (Genesis 49:9). Rashi's interpretation is that it begins as a cub and ends as a lion. It is known that the essence of the exile is only to elevate the sparks that fell into the klipah from the sin of Adam HaRishon, and Israel suffers the pains of exile until the time comes when all wickedness will be finished, and when there is an elevation of the aforementioned sparks, then surely the redemption will come immediately. Then all the inhabitants of the world will recognize and know that the earth and its fullness belong to the Lord, and His great name will be magnified as it is written in Isaiah. And behold, even in this bitter exile, the Holy One, blessed be He, constantly performs miracles and wonders for us, as it is said, ""And for Your miracles..."" And certainly at the time of redemption, the greatness of the Creator, blessed be He, will be evident, especially when we are in our land, then the greatness of the Creator will be evident in thousands upon thousands of myriads that no creature will be able to recount. But during this exile, there are many wicked ones who have a spirit of folly in their hearts, for they see that we are suffering many pains, and thus they have a place to mislead. Therefore, in this exile, we are called as if a cub, and when the redemption comes, we will be called a lion. This is the lion cub of Judah, beginning as a cub and ending as a lion, and when will it be called a lion? When there is an elevation of the sparks. And this is from the prey, my sons, you have ascended. May the Blessed Lord grant that these sparks be elevated quickly, and may our righteous Messiah come, Amen.","The passage discusses the concept of exile and redemption in Hasidic thought, emphasizing that the primary purpose of the current exile is to elevate the fallen sparks of holiness resulting from Adam's sin. It contrasts the initial state of suffering, symbolized by ""גור"" (cub), with the future state of strength and majesty, represented by ""אריה"" (lion), upon the arrival of redemption. The text highlights that during exile, God's miracles are still present, and ultimately, when the sparks are elevated, the world will recognize God's greatness, leading to the coming of the Messiah. The prayer is for the swift elevation of these sparks and the arrival of the righteous redeemer.","גור  
אריה  
נצוצות  
קליפה  
גאולה  
יסורים  
רשעה  
ניסים  
ברוך הוא  
משיח"
Kedushat Levi,Vayechi,163,1095,"או יבואר, גור אריה יהודה מטרף בני עלית (בראשית מט, ט). יבואר על פי מאמר חכמינו ז""ל <small>(מדות ד, ז)</small> מה ארי רחב מלפניו וצר מלאחריו אף היכל צר מלאחריו ורחב מלפניו. הכלל הוא, כשהשם יתברך משפיע טובות על הגוים הוא בכדי ליתן להם כל טובם ושכרם בעולם הזה כדי ליפרע מהם בעולם הבא ובישראל הוא להיפך להרבות שכרם לעתיד לבא. וזהו הרמז אף היכל, הוא רומז ומורה על ישראל, רחב מלפניו, מורה לעתיד לבא. וצר מלאחריו, מורה על עולם הזה וזהו הרמז בפסוק מטרף בני עלית, כשאתה עושה תשובה על מעשים הרעים עלית יש לך עלייה יותר כמאמר חכמינו ז""ל במקום שבעלי תשובה וכו':","Or it can be explained, ""The lion's whelp of Judah is from the prey, my son"" (Genesis 49:9). It can be explained according to the saying of our Sages, may their memory be blessed (Middot 4:7), that just as a lion is wide in front of him and narrow behind him, so too the Temple is narrow behind and wide in front of it. The principle is that when the Holy One, blessed be He, bestows goodness upon the nations, it is in order to give them all their good and reward them in this world, in order to exact from them in the World to Come. But with Israel, it is the opposite; it is to increase their reward for the World to Come. And this is the hint: ""even the Temple,"" it hints and indicates Israel, ""wide in front of him,"" indicating the future. ""And narrow behind him,"" indicating this world. And this is the hint in the verse ""from the prey, my son,"" that when you repent for your evil deeds, you have an elevation, as our Sages, may their memory be blessed, said: ""In the place where the penitent stand, etc.""","The passage from Sefer Divrey Yoel discusses the dual nature of divine reward and punishment, contrasting the experiences of the nations with those of Israel. It emphasizes that while God grants the nations their rewards in this world to settle accounts in the next, for Israel, the focus is on accumulating future rewards. The imagery of the lion, representing strength and majesty, illustrates that true elevation comes through repentance, leading to greater spiritual ascent. Ultimately, the text highlights the transformative power of teshuva (repentance) and its role in securing a more profound connection to the future world.","אור  
תשובה  
שכר  
עולם הזה  
עולם הבא  
היכל  
ישראל  
רחב  
צר  
עלייה"
